15,1,16,90
15,2,16,90
15,3,16,90
15,4,16,90
15,5,16,90
15,6,16,90
13,7,16,90
14,7,16,90
15,7,16,90
17,7,16,90
15,8,16,90
15,9,16,90
11,10,16,90
15,10,16,90
19,10,16,90
19,11,16,90
11,12,16,90
15,12,16,90
11,13,16,90
15,13,16,90
11,14,16,90
15,14,16,90
19,14,16,90
15,16,16,90
15,17,16,90
15,18,16,90
15,19,16,90
15,21,16,90
15,22,16,90
14,25,16,90
16,25,16,90
13,26,16,90
17,27,16,90
13,28,16,90
17,29,16,90
13,31,16,90
17,31,16,90
14,0,15,90
15,0,15,90
16,0,15,90
11,14,15,90
19,14,15,90
13,31,15,90
17,31,15,90
14,0,14,90
16,0,14,90
13,31,14,90
17,31,14,90
